བྷུ་ལི་སྤྲུལ་སྐུ་,བུ་ལི་སྤྲུལ་སྐུ་ཞེས་པ་
བགགས་,བསྒགས་
བགྱང་,བསྒྱང་
བགྱངས་,བསྒྱངས་
བསྒོང་,བསྒང་
བསྒོངས་,བསྒངས་
བསྒྲད་,བགྲད་
བཅའ་ལག་,ཅ་ལག་
བརྙོག་,བསྙོག་
བརྙོགས་,བསྙོགས་
བསྙོལ་,སྙལ་གྱི་འདས་པ་
བཏུངས་,འཐུངས་
བཏེག་,བཏེགས་
བརྟུལ་,རྟུལ་ཞུགས་
བདོད་,བཏོད་ཀྱི་མ་འོངས་པ་
བརྡུགས་,རྡུང་
བསྡོས་,གདོས་
བབ་བླ་,བ་བླ་
བུངས་,བོངས་
བེ་གེ་,བེག་གེ་
བེམ་ཏོལ་,བེལ་རྡོལ་
བེལ་སྣབས་,བེ་སྣབས་
བོང་,བོངས་
བྱ་བརྙངས་,བྱ་རྨྱང་
བྱ་བོ་ཙི་,བྱ་ཕོ་ཙི་
བྱེའུ་,བྱིའུ་
བྲའོ་,བྲ་བོ་
བྲོབས་,ཕྲོབས་
བླ་དྭགས་,ལ་དྭགས་
བསྩགས་,བསགས་
བརྫུན་,རྫུན་
བཞམས་,གཞམས་
བཞའ་,གཞའ་
བརླངས་,བརླང་
བཤན་པ་,ཤན་པ་
བཤའ་ཚེ་,གཤའ་ཚེ་
བསུན་,སུན་
བསུབ་,སུབ་ཀྱི་མ་འོངས་པ་
བསེ་བ་,སེ་བ་
བསེ་ཡབ་,སེ་ཡབ་
བསོག་,གསག་
བསོགས་,གསག་གི་འདས་པ་
བབས་པ་,འབབ་པའི་འདས་པ་
བྱིངས་པ་,འབྱིང་བའི་འདས་པ་
བྲའུ་,བྲ་བོ་
བྲའོ་,བྲ་བོ་
བླུད་པ་,གླུད་
བློ་རིག་,བློ་རིགས་
བཞུར་བ་,བཞུ་བའི་འདས་པ་
བཟབ་པ་,གཟབ་པའི་མ་འོངས་པ་
བརླགས་པ་,རློག་པའི་འདས་པ་
བསིལ་བ་,གསིལ་བའི་མ་འོངས་པ་
བསུམ་པ་,སུམ་པའི་མ་འོངས་པ་དང་འདས་པ་
བསེ་,སེ་ཞེས་པ་
བསློག་པ་,སློག་པའི་མ་འོངས་པ་དང་འདས་པ་
མཁར་སིལ་,འཁར་གསིལ་
མཁལ་མ་ཞོ་ཤ་,འབྲས་བུ་མཁལ་དབྱིབས་
མཁྲང་བ་,མཁྲང་པོ་
མཁྲེགས་པ་,མཁྲེགས་པོ་
མངན་པ་,དངན་པ་
མཆད་ཀ་,མཆད་པ་
མཆིན་ཀ་,མཆིན་ཁ་
མཆིས་འབྲང་,མཆིས་བྲང་
མཆུ་ཐོ་,མཆུ་ཏོ་
མཆོད་བཤམས་,མཆོད་གཤོམ་
མཇིང་,འཇིངས་
མཇུག་སྣོན་,མཇུག་གནོན་
མཉེན་པོ་,མཉེན་པ་
མཐའ་གྲུ་,ཐ་གྲུ་
མཐའ་གཅོད་,མཐའ་དཔྱོད་
མཐིང་རྒྱུས་,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་རྒྱུས་ཕྲན་གཤིབ་པ་
མཐིང་རིལ་,ཐིང་རིལ་
མཐུག་པ་,མཐུག་པོ་
མཐུན་པོ་,མཚུངས་པའི་དོན་དུ་འཇུག་པའི་མཐུན་པ་
མཐུན་མོང་,ཐུན་མོང་
མཐེ་བོ་,མཐེ་བོང་
མཐོ་པོ་,མཐོ་བ་
མཐོ་ཡོར་,ཐོ་ཡོར་
མཐོང་ཀ་,མཐོང་ག་
མཐོང་ཁ་,མཐོང་ག་
མཐོན་ག་,མཐོན་ཀ་
མདག་པ་,མདག་མ་
མདང་སང་,དེང་སང་
མདང་སོང་,མདང་སུམ་
མདན་པ་,འགྲམ་པའི་དོན་དུ་གོ་བའི་ལྡན་པ་
མདའ་རྒྱུས་,སྔོ་སྨན་གྱི་རིགས་འབྲས་བུ་དམར་པོ་བྱུ་རུ་
མདའ་ཡིག་,མདའི་དབྱིབས་
མདའ་གཡབ་,མདའ་ཡབ་
མདུང་ཟླ་ཚེས་མ་,མདུང་རྩེའི་ལྕགས་ཀྱི་དབྱིབས་ཟླ་ཚེས་
མདུན་མ་,འདུན་མ་
མདོག་ཁ་མོ་,མདོག་ཁ་པོ་
མདོངས་གསོལ་,མདོང་གསོལ་
མདོམས་,ཕོ་མོའི་མཚན་མ་གནས་ཡུལ་དོན་དུ་གོ་བའི་འདོམས་
མནོག་ཟན་,རྣོག་ཟན་
མ་ཀི་,མ་གི་
མ་བུ་,མ་ཡིག་
མ་བྱན་,མ་ཆེན་
མ་ཡར་,མ་གཡར་
མན་ཇུ་,མཉཛུ་
མར་སྐྲོག་ག་,མར་སྐྲོག་
མརྒད་,མརྒཏ་
མལ་ཆས་,མལ་ཆ་
མི་ཇགས་,མི་འཕྱགས་
མི་གཏའ་,མི་གཏེ་
མི་རྟག་པ་,ཚེ་མི་རྟག་ནམ་མཁའི་གློག་
མི་བྱེད་རྒུ་བྱེད་,མི་བྱེད་དགུ་བྱེད་
མི་མ་སྤྲ་,མིའི་གཟུགས་དབྱིབས་
མི་འམ་ཅི་,མིའམ་ཅི་
མིག་མང་,མིག་མངས་
མིག་གཡོར་,མིག་ཡོར་
མིག་བསླེ་བོ་,མིག་སླེ་བོ་
མིའི་བཙད་པོ་,མིའི་བཙན་པོ་
མུ་ཏོ་བ་,མུ་ལྟོ་བ་
མུ་ཐི་ལི་,མུ་ཐི་ལ་
མུན་སྲིབས་,མུན་སྲིབ་
མུལ་ལྟོ་བ་,མུ་ལྟོ་བ་
མེ་ཏོག་,མེ་ཏོག་སད་ཀྱིས་ཁྱེར་
མོ་ནད་འོ་ཚབས་,རྒྱུ་ཞབས་གཟེར་ཞིང་ཟླ་མཚན་འོ་ཁ་འམ་ཆུ་
མོ་མ་,མོ་པ་
མོང་བརྟུལ་,མོང་རྟུལ་
མོད་པ་,མོད་པོ་
མྱག་ཕྲན་,ཉག་ཕྲན་
མྱུར་པོ་,མྱུར་བ་
མཚག་པ་,རྒྱགས་པའི་དོན་དུ་གོ་བའི་འཚག་པ་
མཚན་གུང་,མཚན་དགུང་
མཚར་པོ་,མཚར་བ་
མཚལ་ལུ་,རྟིང་པ་དཀར་པོའི་དོན་དུ་གོ་བའི་མཚའ་ལུ་
མཚེ་,མཚེ་ལྡུམ་
མཚོ་རྟ་,རྒྱ་མཚོ་ལ་གནས་པའི་ཉ་རིགས་ཤིག་དེའི་གདོང་རྟ་
མཛར་བ་,ལམ་རྒྱགས་ཀྱི་དོན་དུ་གོ་བའི་འཛར་བ་
མཛུ་གུ་,མཛུག་གུ་
མཛེར་པ་,ལུས་ཀྱི་པགས་པའི་སྟེང་དུ་གཟེར་བུ་གདབ་པ་
མཛེས་པོ་,མཛེས་པ་
མཛོ་གདང་,མཛོ་རྡང་
མཐིང་,གནམ་མདོག་
མདག་པ་,མདག་མ་
མཚེ་,ལོ་མའི་དབྱིབས་སྒྲོན་ཤིང་གི་ལོ་མ་
མི་,དམངས་ཁྲོད་ཀྱི་ངག་རྒྱུན་དུ་གྲགས་པའི་སྲོག་ཆགས་མི་
མོད་,ཡིན་ནའང་ཞེས་པ་
མྱག་,རུལ་ནས་འདམ་
མ་གཅིག་གི་གཅོད་ཀྱི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
མ་གཉིས་པ་,མ་དངོས་
མ་ཧཱ་མཱ་ཡའི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
མཁའ་སྤྱོད་,ཆེན་པོ་སྔར་
མགལ་པ་,མགལ་དུམ་
མངོན་སུམ་གྱི་ཚད་འབྲས་,།དེ་ལ་གཟུང་རྣམ་ནི་དོན་
མཆད་ཀ་,མཆད་པ་
མཆད་པ་,ལྷ་ས་མཁར་
མཆིན་ཀ་,མཆིན་ཁ་
མཆོད་བཤམས་,མཆོད་གཤོམ་
མཇུག་སྣོན་,མཇུག་གནོན་
མཐའ་གཅོད་,མཐའ་དཔྱོད་
མཐུ་ནུས་,ནུས་མཐུ་
མཐུག་ངར་,མཐུག་རྔམས་
མཐུན་པར་འཇུག་པར་བྱ་བ་,དཔེར་ན་གཉེན་ཁ་ལེན་བྱེད་པ་
མཐུན་འཇུག་སྤྱོད་པའི་ལུང་,མཐུན་འཇུག་ཐབས་ཀྱི་སྤྱོད་པ་
མཐུན་འཇུག་སྦྱོར་བའི་ལུང་,མཐུན་འཇུག་སྦྱོར་བའི་མདོ་
མཐུར་ཐག་,མཐུར་མདའ་
མཐེབ་དྲས་,མཐེབ་གྲི་བ་
མཐོང་ལམ་རྩེ་སྦྱོར་,ཐེག་ཆེན་གྱི་མཐོང་ལམ་
མཐོན་ག་,མཐོན་ཀ་
མདང་སོང་,མདང་སུམ་
མདོ་རྒྱུད་བསྲེ་བའི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
མདོ་སྡེ་པའི་ལུགས་ཀྱི་རྟེན་འབྲེལ་ཡན་ལག་བཅུ་གཉིས་,།ཉོན་མོངས་པ་གསུམ་དུ་བསྡུས་པ་སོགས་ཕལ་ཆེར་ནི་སྔ་མ་
མདོང་ངུ་,མདོང་མོ་
མན་ངག་གི་བློ་གྲོས་ཐབས་གསུམ་,བློ་གྲོས་ཐབས་ཀྱི་མན་ངག་གསུམ་
མཚན་གྱི་ཁྱད་པར་བརྒྱད་,མཚན་གྱི་རྣམ་གྲངས་བརྒྱད་
མཚན་སོ་,མེལ་ཚེ་
མཚམས་བཙོས་དང་དེ་ཟོས་པའི་ཉེས་བྱས་,རུང་ཁང་མ་ཡིན་པ་དེ་ཡང་རང་ངམ་རང་
མཚམས་ལ་ཡིད་གཉིས་ཟ་བའི་ཚེ་མ་མ་བརྒྱད་,ཡིད་གཉིས་ནི་ངེས་པས་འབྱིན་པར་བྱེད་པ་
མཚེར་སྡུག་,མཚེར་སྣང་
མཚོན་བྱེད་རྒྱུད་དྲུག་,ཨ་ཏིའི་བསྟན་པ་ནམ་མཁའ་
མི་གཡོ་བའི་ཁྲིད་,ཞེས་པའི་བར་གཞན་
མི་དཔོན་,དཔོན་པོ་
མི་འགྱུ་དགུ་འགྱུ་,མི་དྲན་དགུ་དྲན་ཞེས་པ་
མིག་གཡོར་,མིག་ཡོར་
མིག་ཆ་ག་,མིག་ཀྲི་ག་
མིག་འཕྲུལ་,སྒྱུ་མ་
མིག་འཕྲུལ་མཁན་,སྒྱུ་མ་མཁན་
མིག་ལོག་,སྡང་མིག་
མིག་སྐྱོ་,མིག་སྐྱག་
མུ་སྟེགས་ཅན་ཞུགས་པ་,རྐུ་ཐབས་སུ་གནས་པ་
མུན་ནག་,ཟླ་བ་
མུན་པ་,ཉི་མ་
མུན་སྲིབས་,མུན་སྲིབ་
མུལ་ལྟོ་བ་,མུ་ལྟོ་བ་
མེ་ཏོག་གུར་ཀུམ་,གུར་གུམ་མེ་ཏོག་
མེ་ཚག་,མེ་སྟག་
མེ་ཚང་,ཐབ་ཚང་
མེ་འཁྲུག་,དམེ་འཁྲུག་
མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས་,ཡེ་ཤེས་གཟུགས་བརྙན་
མེ་ཧྲོག་,མེ་ཏོག་
མ་ཡིག་རིན་པོ་ཆེ་གདུང་བ་བཅད་པ་,གཟུགས་ཀྱི་ཕུང་པོ་སྙིང་མེད་རོ་
མཐོང་ལམ་ལ་ཐོབ་པའི་ཤེས་པ་,ཇི་ལྟར་སྐྱེས་པ་རྣམས་
མར་མེ་གསོ་བའི་མན་ངག་གི་གནད་བརྒྱད་,།ཐེངས་གཅིག་ལ་ལོག་ན་རྟ་གདོང་འདྲོག་ཅན་
མར་མེ་གསོ་བའི་ཁམས་ཚོད་གཟུང་བའི་མན་ངག་,།ཐེངས་གཅིག་ལོག་ན་རྟ་གདོང་འདྲོག་ཅན་
མཛོད་སྤུ་སྐྲ་དཀར་གྱི་ས་བོན་,བསམ་གཏན་གྱི་ཡན་ལག་དགུ་སྔར་
མགོན་པོའི་སྙན་བརྒྱུད་བཞི་,མན་ངག་གསེར་འགྱུར་གྱི་རྩི་
མཐོང་སྤང་གློ་བུར་བ་,ཤིང་གི་འབྲས་བུ་
མཐོང་ཆོས་འབྲས་བུ་ཅན་གྱི་ལས་,དེ་མྱ་ངན་ལས་འདས་པ་སླར་ལོག་པ་
མོས་པ་དྲུག་,ཕལ་ཆེར་དེ་ཉིད་
མངོན་མཚན་ཅན་,ཟེར་བ་དེ་
མྱིའམ་ཇི་,མྱིའམ་ཅི་
མྱེན་ལིང་,མན་ཙི་
མྱེས་ཕོ་,མྱེས་པོ་
མྱོང་བ་ཐན་ཐུན་,མྱོང་བ་སྣེ་ཟིན་
མྱོས་ཆུང་,མྱོག་
མཁར་ལེན་,མཁར་ལན་
མཆིལ་མའ་,མཆིལ་མ་
མཆོད་པའི་སྤྲིན་,མཆོད་སྤྲིན་
མཁལ་གསང་,མཁལ་མའི་གསང་
མེ་ཏོག་སེར་ཆེན་,།སྡོང་པོ་དཔལ་གང་པ་
མཁན་པོ་དང་འདྲ་བའི་བྱེད་ལས་ལྔ་,།དེ་ལྟར་མཁན་པོའི་ལས་སུ་བྱ་བ་ལྔ་
མི་འགྱུར་ཆོས་དབྱིངས་རྡོ་རྗེ་,ཕྱིས་སུ་ཇི་ལྟར་མཇལ་བ་དེ་
མཐིང་,གནམ་མདོག་
མདག་པ་,མདག་མ་
མི་,དམངས་ཁྲོད་ཀྱི་ངག་རྒྱུན་དུ་གྲགས་པའི་སྲོག་ཆགས་མི་
མོད་,ཡིན་ནའང་ཞེས་པ་
མྱག་,རུལ་ནས་འདམ་
མཚེ་,ལོ་མའི་དབྱིབས་སྒྲོན་ཤིང་གི་ལོ་མ་
མཁར་སིལ་,འཁར་གསིལ་
མཁལ་མ་ཞོ་ཤ་,འབྲས་བུ་མཁལ་དབྱིབས་
མཁྲང་བ་,མཁྲང་པོ་
མཁྲེགས་པ་,མཁྲེགས་པོ་
མགོ་ལྕོག་,མགོ་ལྕོགས་
མངན་པ་,དངན་པ་
མཆད་ཀ་,མཆད་པ་
མཆན་ཁུག་,མཆན་ཁུང་
མཆིན་ཀ་,མཆིན་ཁ་
མཆིས་འབྲང་,མཆིས་བྲང་
མཆུ་ཐོ་,མཆུ་ཏོ་
མཆོད་བཤམས་,མཆོད་གཤོམ་
མཇིང་,འཇིངས་
མཇུག་སྣོན་,མཇུག་གནོན་
མཉམ་པར་གཞག་པ་,མཉམ་པར་བཞག་པ་
མཉེན་པོ་,མཉེན་པ་
མཐའ་གྲུ་,ཐ་གྲུ་
མཐའ་གཅོད་,མཐའ་དཔྱོད་
མཐིང་རྒྱུས་,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་རྒྱུས་ཕྲན་གཤིབ་པ་
མཐིང་རིལ་,ཐིང་རིལ་
མཐུག་པ་,མཐུག་པོ་
མཐུན་པོ་,མཚུངས་པའི་དོན་དུ་འཇུག་པའི་མཐུན་པ་
མཐུན་མོང་,ཐུན་མོང་
མཐེ་བོ་,མཐེ་བོང་
མཐོ་པོ་,མཐོ་བ་
མཐོ་ཡོར་,ཐོ་ཡོར་
མཐོང་ཀ་,མཐོང་ག་
མཐོང་ཁ་,མཐོང་ག་
མཐོན་ག་,མཐོན་ཀ་
མནོག་ཟན་,རྣོག་ཟན་
མ་གལ་,ཤིང་སྡོང་ཆེ་གྲས་ལྕང་མ་
མཁྲིས་པའི་རྡེལ་སྐྲན་,མཁྲིས་རྡོ་ཞེས་པ་
མགྲོན་འཁོར་ཆུང་བ་,སོབ་གོར་གྱི་དབྱིབས་
མཆིག་,ཆུ་ནང་གི་སྲོག་ཆགས་དབྱིབས་མཆིག་
མཆོང་ཁྲི་,དབྱིབས་མལ་ཁྲི་
མཐེབ་སྡེར་,དབྱིབས་མཐེ་བོང་
མདེའུ་གྲི་,རྩེ་མོ་མདེའུ་རྩེ་
མཚོ་གདུགས་,རྒྱ་མཚོར་གནས་ཤིང་ལུས་པོ་གདུགས་ཀྱི་དབྱིབས་
མཚོ་གཟིག་,ལུས་དབྱིབས་ཉ་དང་ཅུང་འདྲ་ལ་ལག་པ་ཉ་ཡི་རྫིའུ་
མཚོ་འབུ་ཤྭ་མོ། མཚོ་གདུགས་,ལུས་ཤ་མོ་
མཚོ་སེང༌་,སུག་པ་ཉ་ཡི་རྫིའུ་
མི་ཆོས་རིང་ལུགས་,བྱེ་བྲག་ཏུ་རང་དབང་
མིང་བཀོད་,དཔེ་དེབ་
མེ་ཏོག་གླང་སྣ་,ནང་གསེས་ལྷ་གླང་སྒོར་ཆེན་
མཆུ་ཤཱ་,མཆུ་ཤོ་
མཁར་བ་,འཁར་བ་
མཁུ་,འཁུ་
མཁུན་,འཁུན་
མཆིག་,མཆི་གུ་
མཆོག་མ་,མཚོག་མ་
མཆོགས་མ་,མཚོག་མ་
མཉེ་ཤིང་,ཉེ་ཤིང་
མཉེད་,ཉེད་
མཐོང་ག་,ཐོང་ག་
མདུང་མོ་,མདོང་མོ་
མན་ཇུ་,མན་ཛུ་
མནོ་,མནོད་
མནོང་,ནོངས་
མཚགས་,མཚག་
མཚང་ར་,ཚང་ར་ཞེས་པ་
མཚུར་,༢་ཚུར་
མཚུར་མོ་,ཚུར་མོ་
མརྒད་,མར་གད་
མིག་རྒྱུ་,སྨིག་རྒྱུ་
མུར་,དམུར་
མྱིད་,མིད་པ་ཞེས་པ་
མ་གཡར་,མ་ཡར་
མ་བྱན་,མ་ཆེན་
མཁར་སིལ་,འཁར་གསིལ་
མཁུ་,འཁུ་
མཁུན་,འཁུན་
མཁོན་,འཁོན་
མགྲོན་བུ་,འགྲོན་བུ་
མཆིག་གུ་,མཆི་གུ་
མཆུ་ཐོ་,མཆུ་ཏོ་
མཆེར་པ་,མཚེར་བ་
མཆོག་མ་,མཚོག་མ་
མཆོགས་མ་,མཚོག་མ་
མཇོར་,འཇོར་
མཉེ་ཤིང་,ཉེ་ཤིང་
མཐོང་ཁ་,མཐོང་ག་
མདན་པ་,ལྡན་པ་
མདའ་གཡབ་,མདའ་ཡབ་
མདའ་མོ་ཆེ་,མདའ་བོ་ཆེ་
མདུང་མོ་,བོད་ཇའམ་ཇ་བསྲུབས་མ་བཟོ་བྱེད་ཀྱི་མདོང་མོ་
མདོག་ཁ་མོ་,མདོག་ཁ་པོ་
མདོངས་གསོལ་,མདོང་གསོལ་
མདོམས་,འདོམས་
མན་ཇུ་,མཉྫུ་
མན་ཛུ་,མཉྫུ་
མནོང་,ནོངས་
མཚགས་,མཚག་
མཚན་དགུང་,མཚན་གུང་
མཚལ་ལུ་,མཚའ་ལུ་
མཚུར་,ཚུར་
མཚུར་མོ་,ཚུར་མོ་
མི་ཕམ་སྐྲའི་ལ་བ་ཅན་,མི་ཕམ་སྐྲའི་ལྭ་བ་ཅན་
མིག་མངས་,མིག་མང་
མིག་རྒྱུ་,སྨིག་རྒྱུ་
མུ་ལྟོ་བ་,མུ་ཏོ་པ་
མུར་བ་,དམུར་བ་
མོ་ཤམ་,མོ་གཤམ་
མོ་ཧྲེངས་,མོ་ཧྲེང་
མོང་རྟུལ་,མོང་བརྟུལ་
མྱག་ཕྲན་,ཉག་ཕྲན་
མཁྲང་ཐེང་,མཁྲང་ཐང་
མཆོད་རྐོང་,མཆོད་ཀོང་
མཉེད་པ་,ཉེད་པ་
མཉེལ་པ་,མཉེལ་བ་
མ་རྨོས་ལོ་ཏོག་,མ་རྨོས་ལོ་ཐོག་
མཁུན་བུ་ཅན་,འཁུན་
མཆུ་ཕྱང༌་,མཆུ་འཕྱང་
མརྒད་,རིན་པོ་ཆེ་མརྒཏ་
མུར་གོང་གཤོང་,མུར་གོང་གཤོངས་
མདོ་སྡེ་བ་,མདོ་སྡེ་པ་
མངས་སྟོན་པ་,མང་སྟོན་པ་ཞེས་པ་
མོའུ་དགལ་གྱི་བུ་,མོའུ་འགལ་གྱི་བུ་
མོའུ་མགལ་གྱི་བུ་,མོའུ་འགལ་གྱི་བུ་
མཆེར་བ་,མཚེར་བ་སྟེ་མཆེར་པ་
མཁར་བ་,འཁར་བ་
མཁུ་,འཁུ་
མཁུན་,འཁུན་
མཆིག་,མཆི་གུ་
མཆོག་མ་,མཚོག་མ་
མཆོགས་མ་,མཚོག་མ་
མཉེ་ཤིང་,ཉེ་ཤིང་
མཉེད་,ཉེད་
མཐོང་ག་,ཐོང་ག་
མདུང་མོ་,མདོང་མོ་
མནོ་,མནོད་
མནོང་,ནོངས་
མན་ཇུ་,མན་ཛུ་
མརྒད་,མར་གད་
མིག་རྒྱུ་,སྨིག་རྒྱུ་
མུར་,དམུར་
མྱིད་,མིད་པ་ཞེས་པ་
མཚགས་,མཚག་
མཚང་ར་,ཚང་ར་ཞེས་པ་
མཚུར་,ཚུར་
མཚུར་མོ་,ཚུར་མོ་
མཆུ་ཤྭ་,མཆུ་ཤོ་
ཙབ་ཏ་ཙུབ་ཏ་,ཙབ་བེ་ཙུབ་བེ་
ཙེན་མིན་,རྩེན་མིན་
ཙོག་པ་,ཙོག་པུ་
ཙོག་པོ་,ཙོག་པུ་
ཙེ་བོ་,མྱུ་གུའི་དབྱིབས་འབྲས་
ཙེན་མིན་,རྩེན་མིན་
ཙོག་པོ་,ཙོག་པུ་
ཙོམ་མདོ་,ཤོ་དགོན་
ཙི་ཚུག་,ཅི་ཙུག་
ཙུམ་པན་,ཙུན་པ་
ཙོར་ལོ་,ཙོར་མོ་
ཙི་ཁུང་,ཙི་ཚང་
ཙེ་བོ་,མྱུ་གུའི་དབྱིབས་འབྲས་
ཙབ་ཏ་ཙུབ་ཏ་,ཙབ་བེ་ཙུབ་བེ་
ཙེན་མིན་,རྩེན་མིན་
ཙོག་པ་,ཙོག་པུ་
ཙོག་པོ་,ཙོག་པུ་
ཙིག་བརྙན་,ཕྱི་དབྱིབས་ཙི་གུ་
ཙབ་ཧྲལ་,རྩབ་ཧྲལ་
ཙིག་གུ་,ཙི་གུ་
ཙོག་པོ་,ཙོག་པུ་
ཙི་,ཙི་གུ་
ཙིག་གུ་,སྲོག་ཆགས་བྱི་བའམ་ཙི་གུ་
ཙནྡན་དཀར་པོ་,ཙན་དན་དཀར་པོ་
ཙ་མ་རཱི་,ཙ་མ་རཱིཿ་
ཙ་རི་ཏྲ་,ཙཱ་རི་ཏྲ་
ཙབྱཱ་,ཙ་བྱཱ་
ཙིཏྟ་མ་ཎི་,ཙིན་ཏ་མ་ཎི་
ཙནྡན་དམར་པོ་,ཙན་དན་དམར་པོ་
ཙབ་ཧྲལ་,རྩབ་ཧྲལ་
ཙིག་གུ་,ཙི་གུ་
ཙོག་པོ་,ཙོག་པུ་
ཚ་རྟིང་མ་,ཚ་རྟིང་
ཚ་ནད་,ཚད་ནད་
ཚ་གནོན་,ཚ་ནོན་
ཚ་མོ་,ཚ་པོ་
ཚ་གསེར་,ཟངས་ལ་ཚ་གསེར་ཡག་པོ་བཏང་ན་གསེར་དངོས་
ཚག་པར་,ཚགས་པར་
ཚགས་ལིང་,ཚགས་གླིང་
ཚང་ར་,མཚང་ར་
ཚད་རིམས་,ཚ་བ་
ཚབ་མ་,ཚབ་པོ་
ཚམ་ངམ་,ཚམ་རྔམ་
ཚམས་ངམ་,ཚམ་རྔམ་
ཚར་སྤེའུ་,ཚར་སྤེ་
ཚར་ཕུད་,ཚར་ཕོད་
ཚིག་གུ་,ཚི་གུ་
ཚིག་འཕྲད་,ཚིག་ཕྲད་
ཚིགས་མ་,ཚིག་མ་
ཚུབ་མ་,འཚུབ་མ་
ཚུལ་བཅོས་,ཚུལ་འཆོས་
ཚེ་རིང་དྲུག་སྐོར་,ཚེ་རིང་རྣམ་དྲུག་
ཚེ་རིང་པོ་,ཚེ་རིང་བ་
ཚེམ་སྲུབ་,ཚེམ་སྲུབས་
ཚེས་མགོ་,ཚེས་འགོ་
ཚོ་བ་,ཚོ་པོ་
ཚོས་སར་,ཚོས་གསར་
ཚ་ཇ་,ཞོགས་ཇ་
ཚངས་པའི་བསོད་ནམས་སྐྱེད་པ་,ཚངས་པར་སྐྱེ་བའི་བསོད་ནམས་
ཚངས་པའི་ཚུལ་,འཁོར་ལོ་
ཚད་རིམས་,ཚ་བ་
ཚིང་པ་,ཕྱིང་པ་
ཚིང་ཞུ་,ཕྱིང་ཞུ་
ཚུབ་མ་,འཚུབ་མ་
ཚུལ་ཁྲིམས་ལས་བྱུང་བའི་བསོད་ནམས་བྱ་བའི་དངོས་པོ་,གཞན་ནི་བསོད་ནམས་བྱ་བའི་དངོས་པོ་གོང་མ་གཉིས་
ཚུལ་ཇི་ལྟར་དུ་ཉམས་པ་,དེ་བསྙེན་པར་རྫོགས་པ་
ཚུལ་བཅོས་,ཚུལ་འཆོས་
ཚེ་ཚི་མ་ཐུབ་,ཚེ་ཕྱི་མ་ཐུབ་
ཚེ་སྲོག་བླ་གསུམ་,མར་མེའི་མར་ཁུ་
ཚེམ་སྲུབ་,ཚེམ་སྲུབས་
ཚོས་སར་,ཚོས་གསར་
ཚིག་རྒྱུད་སྡེ་ཚན་བཅུ་གཅིག་,།རྩེ་མོར་འབྱོངས་པའི་མཁར་
ཚད་མྱེད་པ་,ཚད་མྱེད་
ཚིགས་པ་བརྒྱ་བ་,འདི་དཀར་སྔོ་དག་
ཚུན་ཆོད་,ཚུན་ཆད་
ཚུན་ཚད་,ཚུན་ཅད་
ཚུར་གཤེགས་པ་,ཚུར་ཤེག་
ཚུས་བགྱིས་,ཚས་བགྱིས་
ཚེ་གུ་,ཙི་གུ་
ཚེ་བླ་སྲོག་གསུམ་,མར་མེའི་མར་ཁུ་
ཚེ་འདའས་,ཚེ་འདའ་
ཚེར་གཟུང་,ཚེར་ཟུངས་
ཚ་མདའ་,དབྱིབས་མེ་མདའ་
ཚགས་ཁུང༌་,ཁྲུས་སྦུག་གི་མགོའི་པད་མའི་གང་བུ་
ཚར་བོང༌་,ཕྱི་མ་ནི་དེ་
ཚལ་དཀར་ཆུང་ངུ༌་,ཚལ་དཀར་
ཚིགས་པའི་མཁར་མཚམས་,སྒལ་ཚིགས་ཀྱི་བར་ན་གནས་པའི་རུས་པ་ལེབ་མོ་དབྱིབས་དོང་ཙེ་
ཚེས་རུ། ཚེས་ཟླ་,བོད་རྩིས་དང་རྒྱ་རྩིས་ཀྱི་ཟླ་བ་སོ་སོའི་ཚེས་ཁའི་ཟོར་བའི་དབྱིབས་
ཚིག་སྣག་,མི་དགའ་བའི་དོན་དུ་གོ་བའི་འཚིག་པ་
ཚ་ལུམ་,ཚ་ལུ་མ་
ཚབ་ཚུབ་,འཚབ་འཚུབ་
ཚིག་གུ་,ཚི་གུ་
ཚུབ་མ་,འཚུབ་མ་
ཚ་ལུམ་,ཚ་ལུ་མ་
ཚམ་ངམ་,ཚམ་རྔམ་
ཚམས་ངམ་,ཚམ་རྔམ་
ཚོ་པ་,ཚོ་བ་
ཚམ་རྔམས་,ཚམ་རྔམ་
ཚམས་རྔམས་,ཚམ་རྔམ་
ཚ་ལུམ་,ཚ་ལུ་མ་
ཚབ་ཚུབ་,འཚབ་འཚུབ་
ཚིག་གུ་,ཚི་གུ་
ཚུབ་མ་,འཚུབ་མ་
ཚིག་པ་,མི་དགའ་བའི་དོན་དུ་གོ་བའི་འཚིག་པ་
ཛར་ཛར་,འཛར་འཛར་
ཛྷཻ་ཀྵིམ་,མདོག་གསེར་
ཛཾ་སེར་གྱི་རྗེས་གནང་གི་བརྒྱུད་པ་,སྒྲུབ་ཐབས་བརྒྱ་རྩ་སྤྱིའི་བརྒྱུད་པ་
ཛ་ལནྔྷ་ར་,ཛ་ལན་དྷ་ར་
ཛམ་ཐང་,ཛཾ་ཐང་
